,total_reward_cash,total_profit_percentage,num_of_trades,ccy,data_frequency,window_size,start_date,mid_date,end_date,list_features,model_type,num_of_simulations
114,-271.6534001051517,0.7283465998948483,48.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
115,-14.534100862572878,0.985465899137427,53.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
116,-236.5041723973205,0.76349582760268,62.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
117,575.5845008118226,1.5755845008118234,68.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
118,-503.4435186704398,0.49655648132956004,63.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
119,-166.70203943806433,0.8332979605619357,48.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
120,311.1052842287444,1.311105284228745,49.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
121,-191.64804084251512,0.8083519591574847,64.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
122,-337.9274834119275,0.6620725165880725,51.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
123,107.22548517961671,1.1072254851796168,50.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
124,-292.89829498621816,0.7071017050137817,60.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
125,-205.10325475059807,0.7948967452494011,56.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
126,-250.46763129379008,0.7495323687062099,51.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
127,258.0382509579123,1.258038250957912,56.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
128,28.980178472298405,1.0289801784722985,56.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
129,-41.298603447031724,0.9587013965529686,60.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
130,-289.645508290449,0.7103544917095509,47.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
131,-199.57744906941468,0.8004225509305853,46.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
132,139.7355672776399,1.13973556727764,45.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
133,-345.67003765573565,0.6543299623442644,51.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
134,-22.915269767183876,0.977084730232816,51.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
